instance_path,instance_name,A,N,seed,algorithm,resultado,tiempo,memoria
data/instancias/inst_A10_N15_2_20251207185750.txt,inst_A10_N15_2_20251207185750,10,15,53,dp,1985,0.0009922999997797,3560
data/instancias/inst_A10_N15_3_20251207185750.txt,inst_A10_N15_3_20251207185750,10,15,54,brute_force,1831,0.0604564999994181,896
data/instancias/inst_A10_N15_3_20251207185750.txt,inst_A10_N15_3_20251207185750,10,15,54,recursive,1831,0.043063200002507,512
data/instancias/inst_A10_N15_3_20251207185750.txt,inst_A10_N15_3_20251207185750,10,15,54,memo,1831,0.001368100001855,16536
data/instancias/inst_A10_N15_3_20251207185750.txt,inst_A10_N15_3_20251207185750,10,15,54,dp,1831,0.0009451000005356,3656
data/instancias/inst_A25_N5_0_20251207185750.txt,inst_A25_N5_0_20251207185750,25,5,55,brute_force,4298,0.0025156999981845,704
data/instancias/inst_A25_N5_0_20251207185750.txt,inst_A25_N5_0_20251207185750,25,5,55,recursive,4298,0.0011080000003858,352
data/instancias/inst_A25_N5_0_20251207185750.txt,inst_A25_N5_0_20251207185750,25,5,55,memo,4298,0.0007307000014407,14640
data/instancias/inst_A25_N5_0_20251207185750.txt,inst_A25_N5_0_20251207185750,25,5,55,dp,4298,0.0010607999975036,4352
data/instancias/inst_A25_N5_1_20251207185750.txt,inst_A25_N5_1_20251207185750,25,5,56,brute_force,4431,0.0008391000010306,704
data/instancias/inst_A25_N5_1_20251207185750.txt,inst_A25_N5_1_20251207185750,25,5,56,recursive,4431,0.0005237000004854,384
data/instancias/inst_A25_N5_1_20251207185750.txt,inst_A25_N5_1_20251207185750,25,5,56,memo,4431,0.0005060999974375,9744
data/instancias/inst_A25_N5_1_20251207185750.txt,inst_A25_N5_1_20251207185750,25,5,56,dp,4431,0.0009151000012934,3488
data/instancias/inst_A25_N5_2_20251207185750.txt,inst_A25_N5_2_20251207185750,25,5,57,brute_force,4482,0.0031576999972457,736
data/instancias/inst_A25_N5_2_20251207185750.txt,inst_A25_N5_2_20251207185750,25,5,57,recursive,4482,0.0023122000020521,448
data/instancias/inst_A25_N5_2_20251207185750.txt,inst_A25_N5_2_20251207185750,25,5,57,memo,4482,0.0007439000000886,14256
data/instancias/inst_A25_N5_2_20251207185750.txt,inst_A25_N5_2_20251207185750,25,5,57,dp,4482,0.0012324000017542,4416
data/instancias/inst_A25_N5_3_20251207185750.txt,inst_A25_N5_3_20251207185750,25,5,58,brute_force,3923,0.0039044000004651,720
data/instancias/inst_A25_N5_3_20251207185750.txt,inst_A25_N5_3_20251207185750,25,5,58,recursive,3923,0.0027372000004106,416
data/instancias/inst_A25_N5_3_20251207185750.txt,inst_A25_N5_3_20251207185750,25,5,58,memo,3923,0.0010762999991129,14656
data/instancias/inst_A25_N5_3_20251207185750.txt,inst_A25_N5_3_20251207185750,25,5,58,dp,3923,0.0014050999998289,4592
data/instancias/inst_A25_N10_0_20251207185750.txt,inst_A25_N10_0_20251207185750,25,10,59,brute_force,4690,0.0890768999997817,848
data/instancias/inst_A25_N10_0_20251207185750.txt,inst_A25_N10_0_20251207185750,25,10,59,recursive,4690,0.1210436999972444,672
data/instancias/inst_A25_N10_0_20251207185750.txt,inst_A25_N10_0_20251207185750,25,10,59,memo,4690,0.0022129000026325,28232
data/instancias/inst_A25_N10_0_20251207185750.txt,inst_A25_N10_0_20251207185750,25,10,59,dp,4690,0.0024052000007941,7200
data/instancias/inst_A25_N10_1_20251207185750.txt,inst_A25_N10_1_20251207185750,25,10,60,brute_force,4654,1.645760100000189,1024
data/instancias/inst_A25_N10_1_20251207185750.txt,inst_A25_N10_1_20251207185750,25,10,60,recursive,4654,0.6653212999990501,800
data/instancias/inst_A25_N10_1_20251207185750.txt,inst_A25_N10_1_20251207185750,25,10,60,memo,4654,0.0027639999971142,25952
data/instancias/inst_A25_N10_1_20251207185750.txt,inst_A25_N10_1_20251207185750,25,10,60,dp,4654,0.002836899999238,6816
data/instancias/inst_A25_N10_2_20251207185753.txt,inst_A25_N10_2_20251207185753,25,10,61,brute_force,4675,0.3940293000014208,912
data/instancias/inst_A25_N10_2_20251207185753.txt,inst_A25_N10_2_20251207185753,25,10,61,recursive,4675,0.2855691000004299,672
data/instancias/inst_A25_N10_2_20251207185753.txt,inst_A25_N10_2_20251207185753,25,10,61,memo,4675,0.002388000000792,17000
data/instancias/inst_A25_N10_2_20251207185753.txt,inst_A25_N10_2_20251207185753,25,10,61,dp,4675,0.0030254999983299,6848
data/instancias/inst_A25_N10_3_20251207185753.txt,inst_A25_N10_3_20251207185753,25,10,62,brute_force,4459,0.1943339999997988,848
data/instancias/inst_A25_N10_3_20251207185753.txt,inst_A25_N10_3_20251207185753,25,10,62,recursive,4459,0.1195088999993458,608
data/instancias/inst_A25_N10_3_20251207185753.txt,inst_A25_N10_3_20251207185753,25,10,62,memo,4459,0.0021570999997493,17064
data/instancias/inst_A25_N10_3_20251207185753.txt,inst_A25_N10_3_20251207185753,25,10,62,dp,4459,0.0028072000022802,6432
data/instancias/inst_A25_N15_0_20251207185754.txt,inst_A25_N15_0_20251207185754,25,15,63,brute_force,4410,1.0821474000003946,960
data/instancias/inst_A25_N15_0_20251207185754.txt,inst_A25_N15_0_20251207185754,25,15,63,recursive,4410,0.2837486999997054,640
data/instancias/inst_A25_N15_0_20251207185754.txt,inst_A25_N15_0_20251207185754,25,15,63,memo,4410,0.0040828000019246,16360
data/instancias/inst_A25_N15_0_20251207185754.txt,inst_A25_N15_0_20251207185754,25,15,63,dp,4410,0.0038620000013906,6112
data/instancias/inst_A25_N15_1_20251207185755.txt,inst_A25_N15_1_20251207185755,25,15,64,brute_force,4646,0.380720699999074,912
data/instancias/inst_A25_N15_1_20251207185755.txt,inst_A25_N15_1_20251207185755,25,15,64,recursive,4646,0.2192840999996406,640
