instance_path,instance_name,A,N,seed,algorithm,resultado,tiempo,memoria
data/instancias/inst_A10_N15_3_20251208183448.txt,inst_A10_N15_3_20251208183448,10,15,54,memo,1831,0.0008650999516248703,8432
data/instancias/inst_A10_N15_3_20251208183448.txt,inst_A10_N15_3_20251208183448,10,15,54,dp,1831,0.0009584000799804926,3488
data/instancias/inst_A25_N5_0_20251208183448.txt,inst_A25_N5_0_20251208183448,25,5,55,brute_force,4298,0.0024377000518143177,704
data/instancias/inst_A25_N5_0_20251208183448.txt,inst_A25_N5_0_20251208183448,25,5,55,recursive,4298,0.0010686999885365367,352
data/instancias/inst_A25_N5_0_20251208183448.txt,inst_A25_N5_0_20251208183448,25,5,55,memo,4298,0.0005730000557377934,9640
data/instancias/inst_A25_N5_0_20251208183448.txt,inst_A25_N5_0_20251208183448,25,5,55,dp,4298,0.0010491000721231103,4352
data/instancias/inst_A25_N5_1_20251208183448.txt,inst_A25_N5_1_20251208183448,25,5,56,brute_force,4431,0.0006975000724196434,704
data/instancias/inst_A25_N5_1_20251208183448.txt,inst_A25_N5_1_20251208183448,25,5,56,recursive,4431,0.0004888999974355102,384
data/instancias/inst_A25_N5_1_20251208183448.txt,inst_A25_N5_1_20251208183448,25,5,56,memo,4431,0.0004287000047042966,5192
data/instancias/inst_A25_N5_1_20251208183448.txt,inst_A25_N5_1_20251208183448,25,5,56,dp,4431,0.0008950999472290277,3488
data/instancias/inst_A25_N5_2_20251208183448.txt,inst_A25_N5_2_20251208183448,25,5,57,brute_force,4482,0.0027950999792665243,736
data/instancias/inst_A25_N5_2_20251208183448.txt,inst_A25_N5_2_20251208183448,25,5,57,recursive,4482,0.0015654999297112226,448
data/instancias/inst_A25_N5_2_20251208183448.txt,inst_A25_N5_2_20251208183448,25,5,57,memo,4482,0.0006165999220684171,9256
data/instancias/inst_A25_N5_2_20251208183448.txt,inst_A25_N5_2_20251208183448,25,5,57,dp,4482,0.0012121000327169895,4416
data/instancias/inst_A25_N5_3_20251208183448.txt,inst_A25_N5_3_20251208183448,25,5,58,brute_force,3923,0.003578400006517768,736
data/instancias/inst_A25_N5_3_20251208183448.txt,inst_A25_N5_3_20251208183448,25,5,58,recursive,3923,0.002749200095422566,416
data/instancias/inst_A25_N5_3_20251208183448.txt,inst_A25_N5_3_20251208183448,25,5,58,memo,3923,0.0010365999769419432,13408
data/instancias/inst_A25_N5_3_20251208183448.txt,inst_A25_N5_3_20251208183448,25,5,58,dp,3923,0.0013432999840006232,4480
data/instancias/inst_A25_N10_0_20251208183448.txt,inst_A25_N10_0_20251208183448,25,10,59,brute_force,4690,0.09876540000550449,864
data/instancias/inst_A25_N10_0_20251208183448.txt,inst_A25_N10_0_20251208183448,25,10,59,recursive,4690,0.11485619994346052,672
data/instancias/inst_A25_N10_0_20251208183448.txt,inst_A25_N10_0_20251208183448,25,10,59,memo,4690,0.0019911000272259116,28232
data/instancias/inst_A25_N10_0_20251208183448.txt,inst_A25_N10_0_20251208183448,25,10,59,dp,4690,0.0022103000665083528,6808
data/instancias/inst_A25_N10_1_20251208183449.txt,inst_A25_N10_1_20251208183449,25,10,60,brute_force,4654,1.7157277999212965,1024
data/instancias/inst_A25_N10_1_20251208183449.txt,inst_A25_N10_1_20251208183449,25,10,60,recursive,4654,0.6356146999169141,800
data/instancias/inst_A25_N10_1_20251208183449.txt,inst_A25_N10_1_20251208183449,25,10,60,memo,4654,0.002428899984806776,27296
data/instancias/inst_A25_N10_1_20251208183449.txt,inst_A25_N10_1_20251208183449,25,10,60,dp,4654,0.0023891000309959054,6816
